Destination;GateNum;Arrival;Departure
LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
STO;2;22-03-2021 09:24:37;22-03-2021 09:24:47
CPH;3;22-03-2021 09:24:37;22-03-2021 09:24:47
LON;1;22-03-2021 09:24:47;22-03-2021 09:24:57
STO;2;22-03-2021 09:24:47;22-03-2021 09:24:57
CPH;3;22-03-2021 09:24:47;22-03-2021 09:24:57
LON;1;22-03-2021 09:24:57;22-03-2021 09:25:07
STO;2;22-03-2021 09:24:57;22-03-2021 09:25:07
CPH;3;22-03-2021 09:24:57;22-03-2021 09:25:07
LON;1;22-03-2021 09:25:07;22-03-2021 09:25:17
STO;2;22-03-2021 09:25:07;22-03-2021 09:25:17
CPH;3;22-03-2021 09:25:07;22-03-2021 09:25:17
LON;1;22-03-2021 09:25:17;22-03-2021 09:25:27
STO;2;22-03-2021 09:25:17;22-03-2021 09:25:27
CPH;3;22-03-2021 09:25:17;22-03-2021 09:25:27
LON;1;22-03-2021 09:25:27;22-03-2021 09:25:37
STO;2;22-03-2021 09:25:27;22-03-2021 09:25:37
CPH;3;22-03-2021 09:25:27;22-03-2021 09:25:37
LON;1;22-03-2021 09:25:37;22-03-2021 09:25:47
STO;2;22-03-2021 09:25:37;22-03-2021 09:25:47
CPH;3;22-03-2021 09:25:37;22-03-2021 09:25:47
LON;1;22-03-2021 09:25:47;22-03-2021 09:25:57
STO;2;22-03-2021 09:25:47;22-03-2021 09:25:57
CPH;3;22-03-2021 09:25:47;22-03-2021 09:25:57
LON;1;22-03-2021 09:25:57;22-03-2021 09:26:07
STO;2;22-03-2021 09:25:57;22-03-2021 09:26:07
CPH;3;22-03-2021 09:25:57;22-03-2021 09:26:07
LON;1;22-03-2021 09:26:08;22-03-2021 09:26:17
STO;2;22-03-2021 09:26:08;22-03-2021 09:26:17
CPH;3;22-03-2021 09:26:08;22-03-2021 09:26:17
