PassengerNumber;Name;Destination;GateNum;Arrival;Departure
0;Passenger0;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
1;Passenger1;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
2;Passenger2;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
3;Passenger3;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
4;Passenger4;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
5;Passenger5;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
6;Passenger6;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
7;Passenger7;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
8;Passenger8;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
9;Passenger9;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
10;Passenger10;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
11;Passenger11;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
12;Passenger12;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
13;Passenger13;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
14;Passenger14;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
15;Passenger15;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
16;Passenger16;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
17;Passenger17;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
18;Passenger18;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
19;Passenger19;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
20;Passenger20;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
21;Passenger21;LON;1;22-03-2021 09:24:27;22-03-2021 09:24:37
22;Passenger22;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
23;Passenger23;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
24;Passenger24;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
25;Passenger25;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
26;Passenger26;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
27;Passenger27;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
28;Passenger28;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
29;Passenger29;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
30;Passenger30;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
31;Passenger31;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
32;Passenger32;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
33;Passenger33;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
34;Passenger34;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
35;Passenger35;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
36;Passenger36;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
37;Passenger37;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
38;Passenger38;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
39;Passenger39;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
40;Passenger40;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
41;Passenger41;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
42;Passenger42;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
43;Passenger43;STO;2;22-03-2021 09:24:27;22-03-2021 09:24:37
44;Passenger44;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
45;Passenger45;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
46;Passenger46;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
47;Passenger47;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
48;Passenger48;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
49;Passenger49;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
50;Passenger50;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
51;Passenger51;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
52;Passenger52;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
53;Passenger53;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
54;Passenger54;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
55;Passenger55;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
56;Passenger56;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
57;Passenger57;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
58;Passenger58;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
59;Passenger59;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
60;Passenger60;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
61;Passenger61;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
62;Passenger62;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
63;Passenger63;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
64;Passenger64;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
65;Passenger65;CPH;3;22-03-2021 09:24:27;22-03-2021 09:24:37
66;Passenger66;LON;1;22-03-2021 09:24:37;22-03-2021 09:24:47
